,,,,,,,,,,,,,,
,Title:,Ambulance Quality Indicators: System Indicators Time Series,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Summary:,Monthly performance of Ambulance Trusts in England for Category A calls,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Period:,April 2011 to August 2014 inclusive,,,,,,,,,,,,
,Source:,"Unify2 data collection - AmbSYS, NHS England",,,,,,,,,,,,
,Basis:,Provider,,,,,,,,,,,,
,Published:,Fri 3 Oct 2014,,,,,,,,,,,,
,Revised:,n/a,,,,,,,,,,,,
,Status:,Published,,,,,,,,,,,,
,Contact:,"Ian Kay, i.kay@nhs.net",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Selected Provider:,England,,,,,,,,,,,
,,Provider Organisation code:,ENG,,,,,,,,,,,
,,,,,,,,,,,,,,
,Financial year,,All Category A calls resulting in an emergency response,All Category A calls resulting in an emergency response within 8 minutes,"Of all Category A calls, proportion responded to within 8 minutes",All Red 1 calls resulting in an emergency response,All Red 1 calls resulting in an emergency response within 8 minutes,"Of all Red 1 calls, proportion responded to within 8 minutes",All Red 2 calls resulting in an emergency response,All Red 2 calls resulting in an emergency response within 8 minutes,"Of all Red 2 calls, proportion responded to within 8 minutes",All Category A calls resulting in an ambulance arriving at the scene of the incident,All Category A calls resulting in an ambulance arriving at the scene of the incident within 19 minutes,"Of all Category A calls resulting in an ambulance arriving, proportion within 19 minutes"
,2011-12,April,"194,617","149,672",76.9%,-,-,-,-,-,-,"193,201","187,968",97.3%
,,May,"200,706","154,483",77.0%,-,-,-,-,-,-,"199,143","193,774",97.3%
,,June,"196,613","148,390",75.5%,-,-,-,-,-,-,"194,718","188,497",96.8%
,,July,"205,952","157,802",76.6%,-,-,-,-,-,-,"204,010","198,215",97.2%
,,August,"197,883","153,438",77.5%,-,-,-,-,-,-,"196,012","190,334",97.1%
,,September,"201,988","152,923",75.7%,-,-,-,-,-,-,"200,339","193,669",96.7%
,,October,"217,997","165,734",76.0%,-,-,-,-,-,-,"216,424","209,108",96.6%
,,November,"208,380","160,702",77.1%,-,-,-,-,-,-,"206,934","200,422",96.9%
,,December,"235,387","174,434",74.1%,-,-,-,-,-,-,"233,711","224,659",96.1%
,,January,"223,779","174,248",77.9%,-,-,-,-,-,-,"222,275","215,673",97.0%
,,February,"216,615","160,020",73.9%,-,-,-,-,-,-,"215,170","206,421",95.9%
,,March,"228,985","172,937",75.5%,-,-,-,-,-,-,"227,348","219,371",96.5%
,,2011-12 Total,"2,528,902","1,924,783",76.1%,-,-,-,-,-,-,"2,509,285","2,428,111",96.8%
,2012-13,April,"215,997","164,638",76.2%,-,-,-,-,-,-,"214,830","207,747",96.7%
,,May,"225,609","168,656",74.8%,-,-,-,-,-,-,"224,871","216,519",96.3%
,,June,-,-,-,"10,453","7,907",75.6%,"203,988","158,126",77.5%,"213,373","206,122",96.6%
,,July,-,-,-,"10,860","8,176",75.3%,"211,754","163,948",77.4%,"221,893","213,946",96.4%
,,August,-,-,-,"11,053","8,301",75.1%,"204,238","159,569",78.1%,"214,531","206,937",96.5%
,,September,-,-,-,"11,171","8,390",75.1%,"202,751","153,864",75.9%,"213,229","204,470",95.9%
,,October,-,-,-,"11,117","8,324",74.9%,"216,511","165,590",76.5%,"227,030","218,293",96.2%
,,November,-,-,-,"11,254","8,242",73.2%,"214,057","162,719",76.0%,"224,718","216,017",96.1%
,,December,-,-,-,"13,360","9,407",70.4%,"244,519","173,102",70.8%,"257,070","243,239",94.6%
